Rk,Player,Age,L,PA,AB,R,H,2B,3B,HR,TB,RBI,BB,SO,SB,CS,LOB,HR%,BB%,K%,AVG,OBP,SLG,OPS,G,IP,ER,HRA,Outs,ERA,WHIP,W,L.1,SV
1,Jackson Holliday,20,ALL (2),319.0,249.0,68,60,19.0,0.0,8.0,103.0,30.0,68,82,5.0,1.0,106.0,2.5,21.3,25.7,0.241,0.404,0.414,0.818,,,,,,,,,,
2,James Wood,21,ALL (2),253.0,208.0,46,72,16.0,0.0,10.0,118.0,38.0,44,46,11.0,2.0,90.0,4.0,17.4,18.2,0.346,0.458,0.567,1.025,,,,,,,,,,
3,Junior Caminero,21,AAA,153.0,138.0,19,36,6.0,0.0,8.0,66.0,24.0,14,35,1.0,1.0,57.0,5.2,9.2,22.9,0.261,0.333,0.478,0.811,,,,,,,,,,
4,Dylan Crews,22,ALL (2),288.0,259.0,39,68,15.0,3.0,8.0,113.0,48.0,20,67,18.0,4.0,120.0,2.8,6.9,23.3,0.263,0.324,0.436,0.76,,,,,,,,,,
5,Walker Jenkins,19,ALL (2),135.0,110.0,19,31,6.0,1.0,2.0,45.0,27.0,23,15,6.0,1.0,47.0,1.5,17.0,11.1,0.282,0.4,0.409,0.809,,,,,,,,,,
6,Ethan Salas,18,A+,286.0,244.0,20,48,13.0,2.0,1.0,68.0,25.0,36,66,7.0,1.0,98.0,0.3,12.6,23.1,0.197,0.301,0.279,0.58,,,,,,,,,,
7,Marcelo Mayer,21,AA,299.0,267.0,54,82,25.0,0.0,7.0,128.0,36.0,27,57,13.0,2.0,113.0,2.3,9.0,19.1,0.307,0.371,0.479,0.85,,,,,,,,,,
8,Jordan Lawlar,21,ALL (2),53.0,45.0,10,16,5.0,1.0,1.0,26.0,16.0,5,8,5.0,1.0,23.0,1.9,9.4,15.1,0.356,0.434,0.578,1.012,,,,,,,,,,
9,Carson Williams,21,AA,286.0,243.0,55,67,16.0,3.0,12.0,125.0,33.0,33,77,21.0,5.0,99.0,4.2,11.5,26.9,0.276,0.374,0.514,0.888,,,,,,,,,,
10,Max Clark,19,A,305.0,256.0,49,71,6.0,3.0,5.0,98.0,50.0,44,53,24.0,2.0,106.0,1.6,14.4,17.4,0.277,0.378,0.383,0.761,,,,,,,,,,
11,Jackson Jobe,21,ALL (2),,,12,14,,,,,,13,40,,,,,,,,,,,9.0,30.2,7.0,0.0,92.0,2.05,0.88,0.0,2.0,0.0
12,Samuel Basallo,19,AA,297.0,269.0,41,76,14.0,0.0,12.0,126.0,38.0,25,62,7.0,4.0,115.0,4.0,8.4,20.9,0.283,0.345,0.468,0.813,,,,,,,,,,
13,Brooks Lee,23,ALL (4),149.0,134.0,28,49,9.0,0.0,7.0,79.0,30.0,14,20,2.0,0.0,77.0,4.7,9.4,13.4,0.366,0.423,0.59,1.013,,,,,,,,,,
14,Roman Anthony,20,AA,275.0,233.0,38,57,15.0,2.0,10.0,106.0,27.0,37,69,7.0,5.0,92.0,3.6,13.5,25.1,0.245,0.353,0.455,0.808,,,,,,,,,,
15,Coby Mayo,22,ALL (2),281.0,246.0,48,76,18.0,2.0,21.0,161.0,60.0,30,71,3.0,3.0,107.0,7.5,10.7,25.3,0.309,0.391,0.654,1.045,,,,,,,,,,
16,Colson Montgomery,22,AAA,333.0,280.0,38,59,12.0,1.0,11.0,106.0,33.0,42,97,6.0,2.0,109.0,3.3,12.6,29.1,0.211,0.328,0.379,0.707,,,,,,,,,,
17,Cade Horton,22,ALL (2),,,18,30,,,,,,13,40,,,,,,,,,,,9.0,34.1,17.0,5.0,103.0,4.46,1.25,2.0,1.0,0.0
18,Noah Schultz,20,ALL (2),,,18,34,,,,,,10,72,,,,,,,,,,,13.0,50.2,17.0,1.0,152.0,3.02,0.87,0.0,2.0,0.0
20,Rhett Lowder,22,ALL (2),,,41,78,,,,,,17,77,,,,,,,,,,,15.0,68.2,40.0,7.0,206.0,5.24,1.38,3.0,4.0,0.0
22,Cole Young,20,AA,328.0,279.0,42,74,15.0,0.0,7.0,110.0,35.0,40,50,14.0,6.0,122.0,2.1,12.2,15.2,0.265,0.359,0.394,0.753,,,,,,,,,,
23,Harry Ford,21,AA,334.0,278.0,37,71,17.0,2.0,5.0,107.0,29.0,46,70,21.0,6.0,123.0,1.5,13.8,21.0,0.255,0.377,0.385,0.762,,,,,,,,,,
24,Kyle Teel,22,AA,281.0,242.0,51,72,15.0,0.0,8.0,111.0,48.0,33,67,5.0,2.0,107.0,2.8,11.7,23.8,0.298,0.388,0.459,0.847,,,,,,,,,,
25,Jasson Dominguez,21,ALL (3),94.0,87.0,17,31,4.0,0.0,6.0,53.0,13.0,7,19,3.0,0.0,30.0,6.4,7.4,20.2,0.356,0.404,0.609,1.013,,,,,,,,,,
26,Emmanuel Rodriguez,21,AA,167.0,124.0,40,37,12.0,2.0,8.0,77.0,20.0,42,46,9.0,3.0,48.0,4.8,25.1,27.5,0.298,0.479,0.621,1.1,,,,,,,,,,
